domain,id,name,updated,lat_col,lon_col,geo_col,date_col,desc_cols,cols,rows,error,mnla,mxla,mnlo,mxlo,geo_share
data.cityofnewyork.us,n2zq-pubd,NYPD Calls for Service (Year to Date),2026-07-27,latitude,longitude,,incident_time,typ_desc,cip_jobs;nypd_pct_cd;incident_time;cad_evnt_id;closng_ts;typ_desc;longitude;create_date;disp_ts;geo_cd_y;incident_date;radio_code;patrl_boro_nm;boro_nm;arrivd_ts;add_ts;latitude;geo_cd_x,10484258,,40.49890536300006,40.91406523400008,-74.25474318899995,-73.70029117699994,1.0
cos-data.seattle.gov,kzjm-xkqj,Seattle Real Time Fire 911 Calls,2026-08-04,latitude,longitude,report_location,report_location,type,address;report_location;:@computed_region_kuhn_3gp2;:@computed_region_ru88_fbhk;:@computed_region_2day_rhn5;:@computed_region_cyqu_gs94;:@computed_region_q256_3sug;longitude;type;incident_number;datetime;latitude,2192676,,47.251232,47.77779,-122.524823,-121.360857,0.9990285842504775
data.cityofnewyork.us,aiww-p3af,311 Service Requests for 2007,2011-10-20,latitude,longitude,location_state,created_date,facility_type;complaint_type;location_type;vehicle_type;descriptor;address_type,created_date;bridge_highway_segment;park_facility_name;school_name;y_coordinate_state_plane_;school_number;school_or_citywide_complaint;school_address;bridge_highway_name;school_state;intersection_street_2;intersection_street_1;cross_street_2;cross_street_1;street_name;location_state;landmark;longitude;school_code;park_borough;ferry_terminal_name;school_phone_number;unique_key;school_region;facility_type;school_city;community_board;school_zip;agency_name;school_not_found;road_ramp;complaint_type;x_coordinate_state_plane_;closed_date;location_type;incident_zip;taxi_pick_up_location;city;:@computed_region_efsh_h5xi;bridge_highway_direction;borough;incident_address;garage_lot_name;latitude;resolution_action_updated_date;due_date;agency;location_zip;location_city;:@computed_region_f5dn_yrer;:@,1882407,,40.49862773316935,40.91288527556353,-74.25498039405798,-73.70038354802529,0.9218962742913727
data.cityofnewyork.us,uzcy-9puk,311 Service Requests for 2008,2011-10-19,latitude,longitude,location_state,closed_date,address_type;vehicle_type;facility_type;complaint_type;descriptor;location_type,incident_zip;school_code;school_address;school_city;location_state;road_ramp;bridge_highway_name;y_coordinate_state_plane_;school_or_citywide_complaint;longitude;taxi_pick_up_location;garage_lot_name;location_address;bridge_highway_direction;agency;address_type;taxi_company_borough;location;latitude;:@computed_region_yeji_bk3q;location_city;school_not_found;vehicle_type;park_borough;closed_date;unique_key;status;ferry_direction;landmark;facility_type;ferry_terminal_name;agency_name;school_region;:@computed_region_efsh_h5xi;school_number;complaint_type;due_date;resolution_action_updated_date;school_name;city;:@computed_region_sbqj_enih;community_board;:@computed_region_92fq_4b7q;intersection_street_2;school_state;school_zip;descriptor;borough;park_facility_name;x_coordinate_state_plane_;loc,1874697,,40.498737397467444,40.91288527556353,-74.25493722035226,-73.70038354802529,0.9269764660635825
data.cityofnewyork.us,hy4q-igkk,311 Service Requests for 2006,2011-10-20,latitude,longitude,location_state,due_date,location_type;descriptor;vehicle_type;complaint_type;address_type;facility_type,longitude;latitude;ferry_terminal_name;location_state;bridge_highway_segment;bridge_highway_direction;bridge_highway_name;taxi_pick_up_location;school_zip;school_city;location_type;:@computed_region_92fq_4b7q;status;incident_address;location;borough;due_date;created_date;taxi_company_borough;incident_zip;school_phone_number;cross_street_1;school_address;descriptor;vehicle_type;school_name;intersection_street_2;garage_lot_name;school_or_citywide_complaint;school_not_found;:@computed_region_f5dn_yrer;road_ramp;agency;agency_name;complaint_type;unique_key;ferry_direction;location_zip;:@computed_region_sbqj_enih;community_board;address_type;school_code;y_coordinate_state_plane_;resolution_action_updated_date;school_state;city;landmark;school_number;cross_street_2;park_facility_name;location_ad,1789359,,40.49888624741073,40.91288527556353,-74.25493722035226,-73.70038354802529,0.9197673580315633
data.cityofnewyork.us,3rfa-3xsf,311 Service Requests for 2009,2011-10-19,latitude,longitude,location_city,created_date,vehicle_type;location_type;complaint_type;address_type;facility_type;descriptor,location_city;:@computed_region_yeji_bk3q;location_address;borough;landmark;status;location_zip;latitude;vehicle_type;bridge_highway_direction;cross_street_1;bridge_highway_name;created_date;longitude;school_name;y_coordinate_state_plane_;location_type;garage_lot_name;intersection_street_2;x_coordinate_state_plane_;unique_key;school_region;school_number;park_facility_name;location_state;school_zip;resolution_action_updated_date;ferry_terminal_name;complaint_type;agency_name;agency;street_name;closed_date;cross_street_2;address_type;community_board;school_code;city;school_address;incident_zip;school_city;intersection_street_1;due_date;location;bridge_highway_segment;school_phone_number;:@computed_region_92fq_4b7q;ferry_direction;:@computed_region_f5dn_yrer;school_not_found;facility_type;sch,1783133,,40.49862773316935,40.912868792260795,-74.25493722035226,-73.70038354802529,0.9262141410651925
citydata.mesaaz.gov,ex94-c5ad,Police Dispatch Events 2017-2020,2024-01-16,latitude,longitude,location_1,creation_datetime,street_type;event_type_code;event_type_description,:@computed_region_5spd_7gy6;longitude;latitude;street_type;street_name;street_number;event_number;division;creation_year;creation_month;event_type_code;location_1;street_direction;event_address;event_type_description;:@computed_region_y4ir_tfjh;creation_datetime;:@computed_region_c83p_wm8i;:@computed_region_c54k_jm6w;:@computed_region_yvgd_jnii;:@computed_region_jbri_cbif;call_priority;:@computed_region_v3p2_n653;:@computed_region_mawd_tskg;response_time_minutes;response_time_seconds;dispatch_group,541872,,33.20766,33.496887,-111.903178,-111.556084,0.9689373136091181
data.cityofchicago.org,3aav-uy2v,311 Service Requests - Street Lights - One Out - Historical,2020-03-30,latitude,longitude,location,completion_date,type_of_service_request,type_of_service_request;latitude;y_coordinate;completion_date;:@computed_region_vrxf_vc4k;:@computed_region_6mkv_f3dw;status;zip_code;location;service_request_number;creation_date;:@computed_region_rpca_8um6;:@computed_region_43wa_7qmu;:@computed_region_bdys_3d7i;street_address;x_coordinate;police_district;longitude;ward;community_area,490937,,41.644599582761444,42.022550782643734,-87.93528753198885,-87.52452737286158,0.9990650531534596
data.cityofchicago.org,4aki-r3np,Strategic Subject List - Historical,2017-05-01,latitude,longitude,location,latest_weapon_arr_date,predictor_rat_arrests_violent_offenses,census_tract;trap_status;ssl_score;predictor_rat_arrests_violent_offenses;weapon_i;drug_i;:@computed_region_vrxf_vc4k;:@computed_region_6mkv_f3dw;age_curr;:@computed_region_43wa_7qmu;location;predictor_rat_uuw_arrests;idoc_res_state_code;latest_weapon_arr_date;trap_flags;predictor_rat_victim_battery_or_assault;race_code_cd;stop_order_no;cpd_arrest_i;narcotics_arr_cnt;raw_ssl_score;latitude;community_area;heat_score;location_zip;idoc_cpd_dist;age_group;weapons_arr_cnt;predictor_rat_gang_affiliation;sex_code_cd;:@computed_region_bdys_3d7i;location_state;dlst;idoc_res_city;predictor_rat_trend_in_criminal_activity;latest_narcotic_arr_date;latest_domestic_arr_date;:@computed_region_rpca_8um6;latest_dist_res;parolee_i;idoc_res_zip_code;location_city;predictor_rat_age_at_latest_arrest;majority_di,398684,,41.6502197525479,42.0212563434854,-87.9044880070487,-87.5304859758278,0.5624379207592981
data.cityofchicago.org,97t6-zrhs,311 Service Requests - Rodent Baiting - Historical,2019-03-06,latitude,longitude,location_zip,completion_date,type_of_service_request,location_zip;police_district;service_request_number;:@computed_region_6mkv_f3dw;:@computed_region_vrxf_vc4k;zip_code;location;y_coordinate;number_of_premises_with_garbage;completion_date;creation_date;street_address;number_of_premises_baited;x_coordinate;longitude;latitude;most_recent_action;location_state;community_area;type_of_service_request;:@computed_region_bdys_3d7i;number_of_premises_with_rats;ward;current_activity;:@computed_region_43wa_7qmu;status;location_address;location_city;:@computed_region_awaf_s7ux,319187,,41.64534230142669,42.022537368525384,-87.9199997040096,-87.52454291026628,0.9999248089677838
cos-data.seattle.gov,bpvk-ju3y,Illegal Dumping Reports,2026-08-04,latitude,longitude,location,createddate,descriptionoftheillegaldumping,servicerequestnumber;createddate;methodreceivedname;servicerequeststatusname;location;x_value;y_value;latitude;longitude;latitude_longitude;zipcode;councildistrict;policeprecinct;community_reporting_area;whereistheillegaldumping;descriptionoftheillegaldumping,288329,,47.44891152,47.77681111,-122.43577045,-122.21700235,0.9959317307658959
data.cityofchicago.org,x2n5-8w5q,Crimes - One year prior to present,2026-08-04,latitude,longitude,location_state,date_of_occurrence,_secondary_description;_location_description;_iucr,case_;location_state;arrest;_secondary_description;location_zip;longitude;_location_description;_primary_decsription;beat;:@computed_region_6mkv_f3dw;location_address;_iucr;location;:@computed_region_bdys_3d7i;:@computed_region_awaf_s7ux;:@computed_region_vrxf_vc4k;:@computed_region_43wa_7qmu;ward;location_city;fbi_cd;x_coordinate;date_of_occurrence;latitude;block;:@computed_region_rpca_8um6;domestic;y_coordinate,230997,,41.644612024,42.022547568,-87.928903079,-87.524529378,0.9997142820036624
data.cityofchicago.org,3h7q-7mdb,Violence Reduction - Shotspotter Alerts - Historical,2024-10-01,latitude,longitude,location,date,incident_type_description,street_outreach_organization;longitude;date;block;ward;unique_id;district;hour;latitude;illinois_house_district;:@computed_region_bdys_3d7i;rounds;:@computed_region_d9mm_jgwp;:@computed_region_43wa_7qmu;incident_type_description;:@computed_region_6mkv_f3dw;:@computed_region_d3ds_rm58;area;:@computed_region_vrxf_vc4k;:@computed_region_rpca_8um6;illinois_senate_district;community_area;month;location;day_of_week;zip_code;beat,222108,,41.6468057,41.980771096,-87.816888959,-87.523124254,1.0
data.cityofchicago.org,t28b-ys7j,311 Service Requests - Alley Lights Out - Historical,2019-03-06,latitude,longitude,location_address,creation_date,type_of_service_request,location_address;:@computed_region_43wa_7qmu;location_zip;:@computed_region_bdys_3d7i;type_of_service_request;location_state;:@computed_region_6mkv_f3dw;:@computed_region_awaf_s7ux;:@computed_region_vrxf_vc4k;street_address;status;location_city;latitude;community_area;police_district;ward;location;creation_date;completion_date;service_request_number;y_coordinate;longitude;x_coordinate;zip_code,219010,,41.645937642875886,42.02253494642465,-87.8990711164802,-87.52452737286158,0.9995525318478609
citydata.mesaaz.gov,dzpk-hxfb,Building Permits,2026-08-04,latitude,longitude,location,finaled_date,offense_witnessed;permit_type;street_type;description_of_work;record_type;type_of_work,finaled_date;cofo_date;parcel_number;assigned_user;latitude;contractor_license;created_by;finaled_month;record_id;infraction;assigned_department;contractor_city;contractor_state;misdemenor;offense_witnessed;street_direction;cofo_year;update_date;street_number;finaled_year;icc_value;total_valuation;contractor_name;permit_year;contractor_phone;reported_date;status_date;balance;job_value;total_fee_invoiced;:@computed_region_5spd_7gy6;issued_date;permit_type;new_residential_permit;contractor_zip;applicant;tracking_id;street_name;street_type;fiscal_year;contractor_address;total_square_feet;application_name;total_fee_assessed;longitude;fiscalyear;unit_num;status;contractor_email;opened_date;completed_date;created_by_cloning;:@computed_region_c54k_jm6w;:@computed_region_yvgd_jnii;description_of_w,155662,,33.277779,33.495301,-111.899359,-111.580864,0.9648019426706582
data.cityofchicago.org,me59-5fac,311 Service Requests - Sanitation Code Complaints - Historical,2019-03-06,latitude,longitude,location,completion_date,type_of_service_request,type_of_service_request;service_request_number;location;location_city;ward;longitude;status;y_coordinate;:@computed_region_awaf_s7ux;location_address;:@computed_region_43wa_7qmu;location_zip;latitude;community_area;x_coordinate;street_address;what_is_the_nature_of_this_code_violation_;completion_date;location_state;:@computed_region_vrxf_vc4k;:@computed_region_6mkv_f3dw;zip_code;police_district;creation_date;:@computed_region_bdys_3d7i,152664,,41.64536949643727,42.02253419703328,-87.90451360419078,-87.5245580920127,0.9998165906828067
data.cityofnewyork.us,uip8-fykc,NYPD Arrest Data (Year to Date),2026-07-27,latitude,longitude,geocoded_column,arrest_date,ofns_desc;pd_desc,ky_cd;arrest_precinct;arrest_date;arrest_key;longitude;arrest_boro;age_group;perp_race;geocoded_column;law_code;ofns_desc;perp_sex;latitude;:@computed_region_f5dn_yrer;:@computed_region_yeji_bk3q;:@computed_region_92fq_4b7q;:@computed_region_sbqj_enih;:@computed_region_efsh_h5xi;jurisdiction_code;pd_desc;pd_cd;law_cat_cd;x_coord_cd;y_coord_cd,141870,,40.5011,40.911307,-74.253049,-73.700287,1.0
