domain,id,name,lat_col,lon_col,date_col,desc_col,all_desc,updated,rows,geo_share,mnla,mxla,mnlo,mxlo,error,score
data.cityofchicago.org,ijzp-q8t2,Crimes - 2001 to Present,latitude,longitude,date,primary_type,primary_type;description;location_description,2026-08-04,8607604,0.988715442764328,41.660027057,42.017093185785,-87.806935739465,-87.548983986875,,
data.lacity.org,2nrs-mtv8,Crime Data from 2020 to 2024,lat,lon,date_occ,crm_cd_desc,crm_cd_desc;premis_desc,2025-12-11,2133137,1.0,34.0219945,34.0724,-118.287842,-118.2289995,,
data.sfgov.org,wg3w-h783,Police Department Incident Reports: 2018 to Present,latitude,longitude,incident_datetime,report_type_code,report_type_code;report_type_description;incident_category;incident_subcategory;incident_description,,1050739,0.9455887713314152,37.70954132080078,37.806864471435546,-122.5029754638672,-122.37950729370117,,
data.cincinnati-oh.gov,k59e-2pvf,PDI (Police Data Initiative) Crime Incidents,latitude_x,longitude_x,date_from,offense,offense;ucr_group;theft_code,2026-08-01,538746,0.8178250975413275,39.0893999100598,39.2125582204596,-84.67527437000001,-84.3858515554,,
data.montgomerycountymd.gov,icn6-v9z3,Crime,latitude,longitude,date,crimename2,crimename2;offence_code;crimename3;nibrs_code;street_type;crimename1,2026-08-04,502876,1.0,38.9594108,39.26332035,-77.2973,-76.9294,,
data.kcmo.org,gqy2-yvmn,KCPD Reported Crime Data (since 2015),latitude,longitude,reported_date,description,description;offense_type,2024-12-19,492157,0.8918739345371497,38.8865955,39.302703,-94.682001,-94.427296,,
data.brla.gov,6zc2-imdr,East Baton Rouge Parish Combined Crime Incidents,latitude,longitude,report_date,statute_title,statute_title;crime_prevention_district;statute_category;crime_against;nibrs_code;statute_description;offense_description,2026-08-04,398982,0.8836965076118722,30.376211,30.544607,-91.197382095,-91.017864,,
data.buffalony.gov,d6g9-xbgu,Crime Incidents,latitude,longitude,incident_datetime,incident_type_primary,incident_type_primary;incident_description;parent_incident_type,,334787,0.992529578508126,42.837995,42.960005,-78.907,-78.8,,
data.cityofgainesville.org,gvua-xt9q,Crime Responses,latitude,longitude,report_day_of_week,offense_day_of_week,offense_day_of_week;offense_date;offense_hour_of_day,2026-08-04,232552,0.9922941965667894,29.60532,29.72866,-82.41964,-82.26118,,
data.princegeorgescountymd.gov,wb4e-w4nf,Crime Incidents February 2017 to 5th July 2023,latitude,longitude,date,clearance_code_inc_type,clearance_code_inc_type,2025-05-15,150608,1.0,38.6589692234993,39.08711796998978,-77.01655711233616,-76.73046681150794,,
data.cambridgema.gov,xuad-73uj,Crime Reports,reporting_area_lat,reporting_area_lon,reporting_area_location,crime,crime;crime_date_time,2026-07-15,111602,0.9999372771097292,42.3556,42.3992,-71.1537,-71.0724,,
data.weho.org,cfmx-tb5w,West Hollywood LASD Historical Crime Data - 2005 to 2021,latitude,longitude,incident_date,part_category,part_category;category;stat_desc,2022-05-19,81503,0.9856201612210592,34.076,34.097,-118.392,-118.343,,
data.cityofnewyork.us,mv4k-y93f,NYPD Criminal Court Summons Incident Level Data (Year To Date),latitude,longitude,summons_date,law_description,law_description;offense_description;summons_category_type,2026-07-27,58415,1.0,40.5666986474,40.8906490472,-74.19015122995,-73.73645219970001,,
performance.fultoncountyga.gov,jgdb-bp9a,City of Atlanta Crime Incidents,latitude,longitude,report_date,crime_category,crime_category;crime_class;crime_type,2018-03-07,55910,1.0,33.64085,33.872575399999995,-84.5342462,-84.31447419999999,,
data.marincounty.gov,ahxi-5nsc,County Sheriff Reported Crimes,latitude,longitude,incident_date_time,crime,crime;crime_class,2026-08-04,52434,0.9404012663538924,37.859094,38.267950805,-122.94552903,-122.45728416,,
fusioncenter.nhit.org,tyqp-i5vn,Crime Incidents - 2020,latitude,longitude,report_dat,offense,offense,2026-07-06,17000,1.0,38.8235965572,38.980096110431,-77.0955638028255,-76.9177815201885,,
cos-data.seattle.gov,tazs-3rd5,SPD Crime Data 2008-Present,latitude,longitude,offense_date,nibrs_offense_code_description,nibrs_offense_code_description;offense_sub_category;offense_category,2026-08-04,1552324,1.0,47.49,47.73,-122.42,-122.24,,99.0
