city,url,date_field,desc_fields,lat_field,lon_field,rows,mnla,mxla,mnlo,mxlo,date_min,date_max,n_layers,desc_score
Nashville,https://services2.arcgis.com/HdTo6HJqh92wn4D8/arcgis/rest/services/Metro_Nashville_Police_Department_Incidents_view/FeatureServer/0,Incident_Occurred,Offense_Description,Latitude,Longitude,916941,36.019550000155625,36.302629999968076,-86.946799999797,-86.58499999968028,2019-01-01,2026-08-04,1,0.264
Charlotte,https://gis.charlottenc.gov/arcgis/rest/services/CMPD/CMPDIncidents/MapServer/0,DATE_INCIDENT_BEGAN,HIGHEST_NIBRS_DESCRIPTION,Y_COORD_PUBLIC,X_COORD_PUBLIC,765091,35.034095176811,35.371167169510635,-81.01940515201453,-80.65692541146076,2018-01-01,2026-08-02,1,0.49
Chattanooga,https://services2.arcgis.com/OIAIimblRxPs0xxc/arcgis/rest/services/testingtestingtestingpolicepoints/FeatureServer/0,date_incident,incident_description,latitude,longitude,585553,34.98620627500001,35.16612069499999,-85.38782289,-85.071246495,2018-01-01,2025-12-15,1,0.197
Denver,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_CRIME_OFFENSES_P/FeatureServer/324,FIRST_OCCURRENCE_DATE,OFFENSE_TYPE_ID;OFFENSE_CATEGORY_ID,GEO_Y,GEO_X,372977,39.62587903635521,39.85192652150845,-105.08487964188062,-104.67408602362639,2021-01-01,2026-08-02,1,0.75
Baltimore,https://services1.arcgis.com/UWYHeuuJISiGmgXx/arcgis/rest/services/NIBRS_GroupA_Crime_Data/FeatureServer/0,CrimeDateTime,Description,Latitude,Longitude,265191,39.22527477000005,39.37111502000003,-76.70987144499996,-76.53318099999996,2022-01-01,2026-08-04,1,0.644
Pittsburgh,ckan://data.wprdc.org/044f2016-1dfd-4ab0-bc1e-065da05fca2e,INCIDENTTIME,OFFENSES;INCIDENTHIERARCHYDESC,Y,X,225019,40.37706420175,40.48832791775,-80.07331152375,-79.8735559105,2018-01-01,2023-11-19,1,0.376
Asheville,https://gis.ashevillenc.gov/server/rest/services/PublicSafety/CrimesDashboard/FeatureServer/16,reportdate,nibrsoffense;offense,,,100155,35.45065124826216,35.64655493475293,-82.64645486862445,-82.46420550823501,2018-01-01,2026-07-29,1,0.475
Tacoma,https://services1.arcgis.com/WGzzp37bqYMLyzDR/arcgis/rest/services/COT_Reported_Crime_Data_Apr_11/FeatureServer/0,Date_Occurred,Offense_Category;Description,Latitude,Longitude,65535,47.17038100000006,47.30539100000006,-122.54423399999996,-122.36919899999995,2018-01-01,2024-04-10,1,0.748
Boise,https://services1.arcgis.com/WHM6qC35aMtyAAlN/arcgis/rest/services/BPD_Crimes_Public/FeatureServer/0,OccurredDateTime,ChargeDescription;IncidentType;CrimeCodeDescription,,,53271,43.54321405891432,43.68156816202929,-116.35320718653375,-116.11401316038165,2021-01-01,2026-07-01,1,0.477
Portland OR,https://www.portlandmaps.com/arcgis/rest/services/Public/Crime/MapServer/1,REPORTED_DATETIME,CrimeType;OffenseGroupDescription,,,44007,45.44645714354215,45.61331826040512,-122.75819180070957,-122.49723789541416,2025-07-05,2026-07-04,1,0.95
Louisville,https://services1.arcgis.com/79kfd2K6fskCAkyg/arcgis/rest/services/Part_1_Crime_Test_WFL1/FeatureServer/0,DATE_OCCURED,CRIME_TYPE;UOR_DESC,Y,X,26254,38.07822334322769,38.3139117722015,-85.8935455757265,-85.49189589061896,2022-01-01,2022-11-29,1,0.838
Duluth,https://services.arcgis.com/DgKyOSWnVuXUe0Jp/arcgis/rest/services/Mapped_Crimes_view/FeatureServer/0,Reported_DateTime,Crime_Description,Latitude,Longitude,23675,46.671047135193604,46.822523801535496,-92.22372921571922,-92.1027042998142,2023-01-01,2026-07-27,1,0.75
Oakland,https://services.arcgis.com/7CRlmWNEbeCqEJ6a/arcgis/rest/services/Oakland_crime_geocoded/FeatureServer/0,datetime,description;crimetype,Y,X,13257,37.731373334999994,37.85189615999999,-122.297702605,-122.145504295,2020-01-01,2027-01-10,1,0.564
Long Beach,https://services6.arcgis.com/yCArG7wGXGyWLqav/arcgis/rest/services/Police_Crime_Mapping/FeatureServer/0,ReportedDateTimeDate,CrimeType;Category,,,10920,33.755022325815595,33.88187710701082,-118.22139250324084,-118.08325972881453,2026-01-21,2026-07-22,1,0.611
