city,klass,before,after,delta
cos-data_seattle_gov,MASS_1,231,1096,865
cos-data_seattle_gov,MASS_2,89401,89401,0
cos-data_seattle_gov,MASS_3,77694,76829,-865
cos-data_seattle_gov,MASS_4,62449,62449,0
cos-data_seattle_gov,MASS_5,0,30399,30399
cos-data_seattle_gov,MVT,75588,45189,-30399
cos-data_seattle_gov,NO_LOOT,48155,48155,0
data_cincinnati-oh_gov,MASS_1,0,592,592
data_cincinnati-oh_gov,MASS_2,0,26659,26659
data_cincinnati-oh_gov,MASS_3,65086,23379,-41707
data_cincinnati-oh_gov,MASS_4,17072,0,-17072
data_cincinnati-oh_gov,MASS_5,0,2080,2080
data_cincinnati-oh_gov,MVT,0,12306,12306
data_cincinnati-oh_gov,NO_LOOT,782,0,-782
data_kcmo_org,MASS_1,173,338,165
data_kcmo_org,MASS_2,35636,35634,-2
data_kcmo_org,MASS_3,23479,23478,-1
data_kcmo_org,MASS_4,15891,15890,-1
data_kcmo_org,MASS_5,2068,13086,11018
data_kcmo_org,MVT,39925,28905,-11020
data_kcmo_org,NO_LOOT,21694,21695,1
data_montgomerycountymd_gov,MASS_1,545,1367,822
data_montgomerycountymd_gov,MASS_2,57318,57318,0
data_montgomerycountymd_gov,MASS_3,42133,41311,-822
data_montgomerycountymd_gov,MASS_4,10561,10561,0
data_montgomerycountymd_gov,MASS_5,0,11246,11246
data_montgomerycountymd_gov,MVT,25207,13961,-11246
data_montgomerycountymd_gov,NO_LOOT,24153,24153,0
data_sfgov_org,MASS_3,160219,160219,0
data_sfgov_org,MASS_4,34315,34315,0
data_sfgov_org,MVT,37188,37188,0
data_sfgov_org,NO_LOOT,45877,45877,0
