dropped,k,pct,lo,hi,tau2,I2,sample
Pittsburgh,8,-12.614857052708196,-18.112583931512027,-6.748025831808102,0.005806744197708179,0.976689887800751,all nine cities
San Francisco,8,-12.883433283992074,-18.19725144123092,-7.224435240921934,0.0054371491365454525,0.975480296158711,all nine cities
Seattle,8,-13.04038333275428,-18.207661945689214,-7.546658882729263,0.005127124233544085,0.9689245308231796,all nine cities
Cincinnati,8,-13.024498689553532,-18.205306290823764,-7.515543060774165,0.005159455073803184,0.9719101491985612,all nine cities
Baltimore,8,-12.797800816801008,-18.178337090220285,-7.063444178944723,0.005574617671833924,0.9768081713510437,all nine cities
Kansas City,8,-12.040949094591102,-17.616923637998184,-6.087573105623722,0.005882507871342471,0.9794282351701828,all nine cities
"Montgomery Co., MD",8,-10.96258005701678,-15.640869681729729,-6.024847337879735,0.0038644293653500657,0.9689119451387685,all nine cities
Charlotte,8,-11.420340008512031,-16.643584065035753,-5.869799268607667,0.005022948784033244,0.976330392243658,all nine cities
Chicago,8,-11.292709039928873,-16.358117608247944,-5.9205359269786095,0.004721831047968871,0.9752200684926943,all nine cities
Pittsburgh,3,-6.014248207710649,-7.5338029386662,-4.469721685400485,0.0,0.0,above 3 deg floor
San Francisco,3,-6.894453041668969,-11.791462951283993,-1.725579354950102,0.0003855839008612544,0.846637321987014,above 3 deg floor
Seattle,3,-7.356046409811112,-11.69577862614436,-2.8030370090299406,0.0002823449184866983,0.7490528625401764,above 3 deg floor
Cincinnati,3,-7.284336876569453,-11.738994490114374,-2.6048464012270234,0.00031516187185451794,0.7928265780096105,above 3 deg floor
