item,n_segments,share,n_in_sample,share_in_sample
segments in the SF analysis table,15709,1.0,11649,1.0
parking census matched any length,14125,0.8991660831370551,10727,0.92085157524251
parking census covers >=50% of segment length,13389,0.8523139601502323,10183,0.8741522877500214
parking census covers >=80% of segment length,12909,0.8217582277675218,9892,0.8491716027126792
non-zero on-street capacity,13046,0.8304793430517537,10162,0.8723495579019659
has an active parking meter,2303,0.1466038576612133,1626,0.13958279680659283
has >=1 base address,11998,0.7637659940161691,9640,0.8275388445360117
has >=1 parcel residential unit,9989,0.635877522439366,8526,0.7319083183105846
has >=1 building within 15 m,9962,0.6341587624928385,8174,0.7016911322860331
has an OSM entrance node,571,0.03634858998026609,383,0.03287835865739548
housing exposure came from the length fallback,4871,0.3100770259087148,2894,0.24843334191776117
